symbol,date,title,description,url
AAPL,2023-03-22 22:45:00+00:00,Pomerantz Law Firm Investigates Claims on Behalf of Apple iPhone 7 Owners who Suffered Performance Degradation Following a Device Update - AAPL,"NEW YORK, March 22, 2023 /PRNewswire/ -- Pomerantz LLP is investigating claims on behalf of Apple iPhone 7 owners that updated their devices from iOS 14 to iOS 15 and suffered a performance degradation in their devices following the update. Such device owners…",https://www.prnewswire.com/news-releases/pomerantz-law-firm-investigates-claims-on-behalf-of-apple-iphone-7-owners-who-suffered-performance-degradation-following-a-device-update---aapl-301779203.html
AAPL,2023-03-22 22:32:02+00:00,PayPal CEO seeing improved eComm market,PayPal CEO seeing improved eComm market,https://www.investing.com/news/stock-market-news/paypal-ceo-seeing-improved-ecomm-market-432SI-3037147
AAPL,2023-03-22 21:41:57+00:00,Anker Japan、Appleの探すアプリにも対応した紛失防止トラッカー「Eufy Security SmartTrack Link」にお得な4個セットモデルを追加。,"Anker JapanがAppleの「探す」アプリにも対応した紛失防止トラッカー「Eufy Security SmartTrack Link」に、お得な4個セットを追加＆発売しています。詳細は以下から。 　Anker
The post Anker Japan、Appleの探すアプリにも対応した紛失防止トラッカー「Eufy Security SmartTrack Link」にお得な4個セットモデルを追加。 first appeared on AAPL Ch..",https://applech2.com/archives/20230323-eufy-security-smarttrack-link-4-pack.html
AAPL,2023-03-23 23:43:12+00:00,Watching Meta Over One Year: This Was The Headline On Meta Employees One Year Ago; What Changed?,"Exactly one year ago, on March 21, 2022, this was the headline: 'Facebook Parent Meta Employees Seek Greener Pastures Post Stock Meltdown.' Then, reports...",https://finance.yahoo.com/news/watching-meta-over-one-headline-234312909.html
AAPL,2023-03-23 23:12:51+00:00,カプコン、Mac版「BIOHAZARD VILLAGE」やSwitch版「バイオハザード CLOUDシリーズ」の20%OFFセールを開催。,"カプコンがMac版「BIOHAZARD VILLAGE」やSwitch版「バイオハザード CLOUDシリーズ」の20%OFFセールを開催しています。詳細は以下から。 　Appleは2022年06月に開催したWWDC22
The post カプコン、Mac版「BIOHAZARD VILLAGE」やSwitch版「バイオハザード CLOUDシリーズ」の20%OFFセールを開催。 first appeared on AAPL Ch..",https://applech2.com/archives/20230324-biohazard-village-for-mac-sale.html
AAPL,2023-03-23 22:33:59+00:00,米Anker、取り外し可能バッテリーを搭載し最大42時間4℃をキープできる持ち運び可能なクーラーボックス「EverFrost Powered Cooler」の発売キャンペーンをKickstarterで開始。,"米Ankerが299Whの取り外し可能バッテリーを搭載し最大42時間4℃をキープできる持ち運び可能なクーラーボックス「EverFrost Powered Cooler」の発売キャンペーンをKickstarterで開始し
The post 米Anker、取り外し可能バッテリーを搭載し最大42時間4℃をキープできる持ち運び可能なクーラーボックス「EverFrost Powered Cooler」の発売キャンペーンをKickstarterで開始。 first appeared on AAPL Ch..",https://applech2.com/archives/20230324-anker-everfrost-powered-cooler.html
AAPL,2023-03-24 21:15:00+00:00,1 Big Reason to Buy This Nasdaq Stock Hand Over Fist Before It Is Too Late,"Apple has been in fine form on the market, and a rumored product could help it sustain its impressive momentum.",https://www.fool.com/investing/2023/03/24/1-big-reason-to-buy-this-nasdaq-stock-hand-over-fi/
AAPL,2023-03-24 20:40:39+00:00,"Company Close Updates: Best Buy Co. Inc. stock falls Friday, underperforms market","Shares of Best Buy Co. Inc. slumped 0.36% to $74.32 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://www.marketwatch.com/data-news/best-buy-co-inc-stock-falls-friday-underperforms-market-8614ab8b-9cd105bf49f7
AAPL,2023-03-24 20:33:00+00:00,TikTok Under Fire,The Fed's quarter-percent interest rate hike went as expected. The CEO of TikTok's testimony on Capitol Hill did not. (0:21) Emily Flippen and Ron Gross discuss: - Fear of a recession vs. fear of a banking contagion - Whether social media giants like Meta Pla…,https://fool.libsyn.com/tiktok-under-fire
AAPL,2023-03-25 18:06:00+00:00,The U.S. Is Scaring Off Foreign Investors. Is It Becoming Uninvestible?,"For those with no interest in democracy and with money to burn, America might be starting to look like a risky market.",https://www.barrons.com/articles/us-global-investors-stock-financial-markets-3837842c
