symbol,date,title,description,url
LIND,2023-03-22 21:51:00+00:00,Medie: Kina har solgt droner til Rusland for 12 millioner dollar,"De nye tal ser dagens lys, mens Kinas præsident er på besøg i Moskva og blandt andet drøfter detaljerne om en mulig våbenhvile mellem Ukraine og Rusland.",https://www.bt.dk/udland/medie-kina-har-solgt-droner-til-rusland-for-12-millioner-dollar
LIND,2023-03-22 21:02:01+00:00,Mount Logan Capital Inc. Announces Fourth Quarter and Full Year 2022 Financial Results,"(marketscreener.com) asset management     Insurance        Revenue 21,641   2,807   — Expenses     — Net income - insurance 22,336   33,617   — Income before income...https://www.marketscreener.com/quote/stock/MARRET-RESOURCE-CORP-11002007/news/Mount-Logan-Ca…",https://www.marketscreener.com/quote/stock/MARRET-RESOURCE-CORP-11002007/news/Mount-Logan-Capital-Inc-Announces-Fourth-Quarter-and-Full-Year-2022-Financial-Results-43314769/?utm_medium=RSS&utm_content=20230322
LIND,2023-03-22 21:01:00+00:00,Mount Logan Capital Inc. Announces Fourth Quarter and Full Year 2022 Financial Results,"Increased Total Revenue in both the Asset Management and Insurance Segments, Increased Fee Related Earnings, Signed an Agreement for an Additional Acquisition following Year-End 2022",https://www.globenewswire.com/news-release/2023/03/22/2632756/0/en/Mount-Logan-Capital-Inc-Announces-Fourth-Quarter-and-Full-Year-2022-Financial-Results.html
LIND,2023-03-23 21:06:02+00:00,Bioasis Provides Update on Business Operations,"(marketscreener.com) NEW HAVEN, Conn., March 23, 2023 -- BIOASIS TECHNOLOGIES INC. , a multi-asset rare and orphan disease biopharmaceutical company developing clinical stage programs based on epidermal growth factor and a differentiated, proprietary xB3 ™ pl…",https://www.marketscreener.com/quote/stock/BIOASIS-TECHNOLOGIES-INC-49478113/news/Bioasis-Provides-Update-on-Business-Operations-43324999/?utm_medium=RSS&utm_content=20230323
LIND,2023-03-23 21:05:00+00:00,Bioasis Provides Update on Business Operations,"NEW HAVEN, Conn., March 23, 2023 (GLOBE NEWSWIRE) -- BIOASIS TECHNOLOGIES INC. (OTCQB:BIOAF; TSX.V:BTI) (the “Company” or “Bioasis”), a multi-asset rare and orphan disease biopharmaceutical company developing clinical stage programs based on epidermal growth …",https://www.globenewswire.com/news-release/2023/03/23/2633691/0/en/Bioasis-Provides-Update-on-Business-Operations.html
LIND,2023-03-23 21:05:00+00:00,Bioasis Provides Update on Business Operations,"NEW HAVEN, Conn., March 23, 2023 (GLOBE NEWSWIRE) -- BIOASIS TECHNOLOGIES INC. (OTCQB:BIOAF; TSX.V:BTI) (the “Company” or “Bioasis”), a multi-asset rare and ...",https://finance.yahoo.com/news/bioasis-provides-business-operations-210500753.html
LIND,2023-03-24 21:23:05+00:00,"Nanjiani, Oswalt Join “Ghostbusters” Sequel","Kumail Nanjiani (“Eternals”), comedian/actor Patton Oswalt, British comedian James Acaster and Emily Alyn Lind (“Gossip Girl”) have all joined the cast of the live-action “Ghostbusters: Afterlife” sequel at Sony Pictures. Gil Kenan (“Monster House,” “Polterge…",https://www.darkhorizons.com/nanjiani-oswalt-join-ghostbusters-sequel/
LIND,2023-03-24 21:01:55+00:00,"Kumail Nanjiani, Patton Oswalt, James Acaster, & Emily Alyn Lind Join Ghostbusters: Afterlife Sequel","We’re officially welcoming @KumailN, @EmilyAlynLind, @PattonOswalt and James Acaster to the #Ghostbusters cast! Read more via @Deadline. https://t.co/Xo3e4ClUTL
— Ghostbusters (@Ghostbusters) March 24, 2023The sequel to 2021’s Ghosbusters: Afterlife has anno…",https://ohnotheydidnt.livejournal.com/125588581.html
LIND,2023-03-24 20:02:21+00:00,Kumail Nanjiani and Patton Oswalt Board Ghostbusters: Afterlife Sequel,"They join the returning Finn Wolfhard, Mckenna Grace, Paul Rudd, and Carrie Coon.
Kumail Nanjiani and Patton Oswalt Board Ghostbusters: Afterlife Sequel
Eddie Fu",https://consequence.net/2023/03/kumail-nanjiani-patton-oswalt-ghostbusters-afterlife-sequel/
LIND,2023-03-25 22:08:51+00:00,8 Best New Movies Coming to Netflix in April 2023,Our top 8 movie picks coming to Netflix throughout April 2023.,https://www.whats-on-netflix.com/what-to-watch/8-best-new-movies-coming-to-netflix-in-april-2023/
