symbol,date,title,description,url
TIO,2023-03-22 23:31:52+00:00,”Hon har varit fånge i tio år”,För snart tio år sedan skadades Michael Schumacher allvarligt i en skidolycka. Sedan dess frun Corinna hållit hans hälso,https://www.aftonbladet.se/sportbladet/a/veVrem/eddie-jordan-corinna-schumacher-ar-som-en-fange
TIO,2023-03-22 23:20:09+00:00,Lula sai em defesa de Raquel Lyra diante de vaias à governadora,"""Se quiserem vaiar o dono da casa, que sou eu, podem vaiar à vontade, mas respeitem meus convidados”, disse o presidente",https://valor.globo.com/politica/noticia/2023/03/22/lula-sai-em-defesa-de-raquel-lyra-diante-de-vaias-a-governadora.ghtml
TIO,2023-03-22 21:04:27+00:00,Conheça os personagens brasileiros de Dead by Daylight,"Capítulo mais recente do game de terror apresentou assassina e sobreviventes do Brasil
The post Conheça os personagens brasileiros de Dead by Daylight appeared first on Jovem Nerd.",https://jovemnerd.com.br/nerdbunker/dead-by-daylight-personagens-brasileiros-guia/
TIO,2023-03-23 23:34:04+00:00,"Pai do menino Bernardo, Leandro Boldrini é condenado por homicídio quadruplamente qualificado","O tribunal do júri de Três Passos, no noroeste do Rio Grande do Sul, condenou mais uma vez o médico Leandro Boldrini, pelo assassinato do seu filho, Bernardo",https://jornaldebrasilia.com.br/noticias/brasil/pai-do-menino-bernardo-leandro-boldrini-e-condenado-por-homicidio-quadruplamente-qualificado/
TIO,2023-03-23 23:31:25+00:00,"10 Fatos sobre Wallace West, o Kid Flash","A situação do Kid Flash nos quadrinhos da DC se tornou complicada em 2011, quando a DC reiniciou seu universo através dos Novos 52.",https://ovicio.com.br/10-fatos-sobre-wallace-west-o-kid-flash/
TIO,2023-03-23 22:54:54+00:00,Fick sparken för konstlektion – mästerverken var ”porr”,Eleverna fick lära sig om några av de främsta mästerverken inom konsten. Det ledde till att skolans rektor Hope Carrasquilla fick sparken – eftersom en förälder tyckte konstlektionen var ”porr”. – Det är sorgligt att min tid här behövde ta slut på det här sät…,https://www.expressen.se/nyheter/fick-sparken-for-konstlektion-masterverken-var-porr/
TIO,2023-03-24 23:15:00+00:00,Nya kryssningsresor du aldrig glömmer,Sugen på en champagnekryssning eller ett japanskt ö-äventyr? I år lanseras flera spännande kryssningsresor – vi tipsar om fyra oförglömliga äventyr.,https://www.svd.se/a/8JX20r/fyra-nya-kryssningsresor-du-aldrig-glommer
TIO,2023-03-24 22:05:36+00:00,"2023 WGC-Dell Match Play leaderboard, scores: Scottie Scheffler, Rory McIlroy among big names to advance",Five of the top seven players in the world have made their way into the Round of 16,https://www.cbssports.com/golf/news/2023-wgc-dell-match-play-leaderboard-scores-scottie-scheffler-rory-mcilroy-among-big-names-to-advance/
TIO,2023-03-24 21:59:04+00:00,Det här är inte tillräckligt – vad är landslaget bra på?,Det började helt okej. Utvecklades åt helt fel håll. Det här landslaget är inte tillräckligt bra på det som svenska landslag brukar vara bra på. Vad är de bra på?,https://www.expressen.se/sport/kronikorer/therese-stromberg/det-har-ar-inte-tillrackligt--vad-ar-landslaget-bra-pa/
TIO,2023-03-25 23:24:14+00:00,Ratad av Färjestad – nu slog han tillbaka: ”Extra skönt”,▸ Foto: Bildbyrån,https://www.aftonbladet.se/sportbladet/hockey/a/15xxjW/ratad-av-farjestad-i-kvartsfinalen-slog-jacob-nilsson-tillbaka
TIO,2023-03-25 23:16:58+00:00,Finländsk politiker överfallen: ”Han ville döda mig”,Finländska Samlingspartisten och riksdagsledamoten Ben Zyskowicz blev överfallen och hotad av en man i Helsingfors på lördagen.,https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt?pinnedEntry=1082961
TIO,2023-03-25 22:07:51+00:00,Amerikanska städerna utraderade av tornadon,"Minst 26 personer dog när en plötslig jättetornado slog till i Mississippi. Nu visar bilder hur städerna Rolling Fork och Silver City i statens floddelta mer eller mindre utraderats. – Min stad är borta, säger Rolling Forks borgmästare Eldridge Walker.",https://www.expressen.se/nyheter/amerikanska-staderna-utraderade-av-tornadon/
